[2025-07-22 16:44:14] [ERROR] [RuleStrategyB] [RuleB] ⚠️ evaluate_result 예외: The truth value of a DataFrame is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
[2025-07-22 16:44:15] [ERROR] [RuleStrategyB] [RuleB] ⚠️ evaluate_result 예외: The truth value of a DataFrame is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
[2025-07-22 16:44:15] [ERROR] [RuleStrategyB] [RuleB] ⚠️ evaluate_result 예외: The truth value of a DataFrame is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
[2025-07-22 16:44:15] [ERROR] [RuleStrategyB] [RuleB] ⚠️ evaluate_result 예외: The truth value of a DataFrame is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
[2025-07-22 16:44:15] [ERROR] [RuleStrategyB] [RuleB] ⚠️ evaluate_result 예외: The truth value of a DataFrame is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
[2025-07-22 16:44:15] [ERROR] [RuleStrategyB] [RuleB] ⚠️ evaluate_result 예외: The truth value of a DataFrame is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
[2025-07-22 16:44:15] [ERROR] [RuleStrategyB] [RuleB] ⚠️ evaluate_result 예외: The truth value of a DataFrame is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
[2025-07-22 16:44:15] [ERROR] [RuleStrategyB] [RuleB] ⚠️ evaluate_result 예외: The truth value of a DataFrame is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
[2025-07-22 16:44:15] [ERROR] [RuleStrategyB] [RuleB] ⚠️ evaluate_result 예외: The truth value of a DataFrame is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
[2025-07-22 16:44:15] [ERROR] [RuleStrategyB] [RuleB] ⚠️ evaluate_result 예외: The truth value of a DataFrame is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
[2025-07-22 16:44:15] [ERROR] [RuleStrategyB] [RuleB] ⚠️ evaluate_result 예외: The truth value of a DataFrame is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
[2025-07-22 16:44:15] [ERROR] [RuleStrategyB] [RuleB] ⚠️ evaluate_result 예외: The truth value of a DataFrame is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
[2025-07-22 16:44:15] [ERROR] [RuleStrategyB] [RuleB] ⚠️ evaluate_result 예외: The truth value of a DataFrame is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
[2025-07-22 16:44:15] [ERROR] [RuleStrategyB] [RuleB] ⚠️ evaluate_result 예외: The truth value of a DataFrame is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
[2025-07-22 16:44:15] [ERROR] [RuleStrategyB] [RuleB] ⚠️ evaluate_result 예외: The truth value of a DataFrame is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
[2025-07-22 16:44:15] [ERROR] [RuleStrategyB] [RuleB] ⚠️ evaluate_result 예외: The truth value of a DataFrame is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
[2025-07-22 16:44:15] [ERROR] [RuleStrategyB] [RuleB] ⚠️ evaluate_result 예외: The truth value of a DataFrame is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
[2025-07-22 16:44:15] [ERROR] [RuleStrategyB] [RuleB] ⚠️ evaluate_result 예외: The truth value of a DataFrame is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
[2025-07-22 16:44:15] [ERROR] [RuleStrategyB] [RuleB] ⚠️ evaluate_result 예외: The truth value of a DataFrame is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
[2025-07-22 16:44:15] [ERROR] [RuleStrategyB] [RuleB] ⚠️ evaluate_result 예외: The truth value of a DataFrame is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
[2025-07-22 16:44:15] [ERROR] [RuleStrategyB] [RuleB] ⚠️ evaluate_result 예외: The truth value of a DataFrame is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
[2025-07-22 16:44:15] [ERROR] [RuleStrategyB] [RuleB] ⚠️ evaluate_result 예외: The truth value of a DataFrame is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
[2025-07-22 16:44:15] [ERROR] [RuleStrategyB] [RuleB] ⚠️ evaluate_result 예외: The truth value of a DataFrame is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
[2025-07-22 16:44:15] [ERROR] [RuleStrategyB] [RuleB] ⚠️ evaluate_result 예외: The truth value of a DataFrame is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
[2025-07-22 16:44:15] [ERROR] [RuleStrategyB] [RuleB] ⚠️ evaluate_result 예외: The truth value of a DataFrame is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
[2025-07-22 16:44:15] [ERROR] [RuleStrategyB] [RuleB] ⚠️ evaluate_result 예외: The truth value of a DataFrame is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
[2025-07-22 16:44:15] [ERROR] [RuleStrategyB] [RuleB] ⚠️ evaluate_result 예외: The truth value of a DataFrame is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
[2025-07-22 16:44:15] [ERROR] [RuleStrategyB] [RuleB] ⚠️ evaluate_result 예외: The truth value of a DataFrame is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
[2025-07-22 16:44:15] [ERROR] [RuleStrategyB] [RuleB] ⚠️ evaluate_result 예외: The truth value of a DataFrame is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
[2025-07-22 16:44:15] [ERROR] [RuleStrategyB] [RuleB] ⚠️ evaluate_result 예외: The truth value of a DataFrame is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
[2025-07-22 16:44:15] [ERROR] [RuleStrategyB] [RuleB] ⚠️ evaluate_result 예외: The truth value of a DataFrame is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
[2025-07-22 16:44:15] [ERROR] [RuleStrategyB] [RuleB] ⚠️ evaluate_result 예외: The truth value of a DataFrame is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
[2025-07-22 16:44:15] [ERROR] [RuleStrategyB] [RuleB] ⚠️ evaluate_result 예외: The truth value of a DataFrame is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
[2025-07-22 16:44:15] [ERROR] [RuleStrategyB] [RuleB] ⚠️ evaluate_result 예외: The truth value of a DataFrame is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
[2025-07-22 16:44:15] [ERROR] [RuleStrategyB] [RuleB] ⚠️ evaluate_result 예외: The truth value of a DataFrame is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
[2025-07-22 16:44:15] [ERROR] [RuleStrategyB] [RuleB] ⚠️ evaluate_result 예외: The truth value of a DataFrame is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
[2025-07-22 16:44:15] [ERROR] [RuleStrategyB] [RuleB] ⚠️ evaluate_result 예외: The truth value of a DataFrame is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
[2025-07-22 16:44:15] [ERROR] [RuleStrategyB] [RuleB] ⚠️ evaluate_result 예외: The truth value of a DataFrame is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
[2025-07-22 16:44:15] [ERROR] [RuleStrategyB] [RuleB] ⚠️ evaluate_result 예외: The truth value of a DataFrame is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
[2025-07-22 16:44:15] [ERROR] [RuleStrategyB] [RuleB] ⚠️ evaluate_result 예외: The truth value of a DataFrame is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
[2025-07-22 16:44:15] [ERROR] [RuleStrategyB] [RuleB] ⚠️ evaluate_result 예외: The truth value of a DataFrame is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
[2025-07-22 16:44:15] [ERROR] [RuleStrategyB] [RuleB] ⚠️ evaluate_result 예외: The truth value of a DataFrame is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
[2025-07-22 16:44:15] [ERROR] [RuleStrategyB] [RuleB] ⚠️ evaluate_result 예외: The truth value of a DataFrame is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
[2025-07-22 16:44:15] [ERROR] [RuleStrategyB] [RuleB] ⚠️ evaluate_result 예외: The truth value of a DataFrame is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
[2025-07-22 16:44:15] [ERROR] [RuleStrategyB] [RuleB] ⚠️ evaluate_result 예외: The truth value of a DataFrame is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
[2025-07-22 16:44:15] [ERROR] [RuleStrategyB] [RuleB] ⚠️ evaluate_result 예외: The truth value of a DataFrame is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
[2025-07-22 16:44:15] [ERROR] [RuleStrategyB] [RuleB] ⚠️ evaluate_result 예외: The truth value of a DataFrame is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
[2025-07-22 16:44:15] [ERROR] [RuleStrategyB] [RuleB] ⚠️ evaluate_result 예외: The truth value of a DataFrame is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
[2025-07-22 16:44:15] [ERROR] [RuleStrategyB] [RuleB] ⚠️ evaluate_result 예외: The truth value of a DataFrame is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
[2025-07-22 16:44:15] [ERROR] [RuleStrategyB] [RuleB] ⚠️ evaluate_result 예외: The truth value of a DataFrame is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
[2025-07-22 16:44:16] [ERROR] [RuleStrategyB] [RuleB] ⚠️ evaluate_result 예외: The truth value of a DataFrame is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
[2025-07-22 16:44:16] [ERROR] [RuleStrategyB] [RuleB] ⚠️ evaluate_result 예외: The truth value of a DataFrame is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
[2025-07-22 16:44:16] [ERROR] [RuleStrategyB] [RuleB] ⚠️ evaluate_result 예외: The truth value of a DataFrame is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
[2025-07-22 16:44:16] [ERROR] [RuleStrategyB] [RuleB] ⚠️ evaluate_result 예외: The truth value of a DataFrame is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
[2025-07-22 16:44:16] [ERROR] [RuleStrategyB] [RuleB] ⚠️ evaluate_result 예외: The truth value of a DataFrame is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
[2025-07-22 16:44:16] [ERROR] [RuleStrategyB] [RuleB] ⚠️ evaluate_result 예외: The truth value of a DataFrame is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
[2025-07-22 16:44:16] [ERROR] [RuleStrategyB] [RuleB] ⚠️ evaluate_result 예외: The truth value of a DataFrame is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
[2025-07-22 16:44:16] [ERROR] [RuleStrategyB] [RuleB] ⚠️ evaluate_result 예외: The truth value of a DataFrame is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
[2025-07-22 16:44:16] [ERROR] [RuleStrategyB] [RuleB] ⚠️ evaluate_result 예외: The truth value of a DataFrame is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
[2025-07-22 16:44:16] [ERROR] [RuleStrategyB] [RuleB] ⚠️ evaluate_result 예외: The truth value of a DataFrame is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
[2025-07-22 16:44:16] [ERROR] [RuleStrategyB] [RuleB] ⚠️ evaluate_result 예외: The truth value of a DataFrame is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
[2025-07-22 16:44:16] [ERROR] [RuleStrategyB] [RuleB] ⚠️ evaluate_result 예외: The truth value of a DataFrame is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
[2025-07-22 16:44:16] [ERROR] [RuleStrategyB] [RuleB] ⚠️ evaluate_result 예외: The truth value of a DataFrame is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
[2025-07-22 16:44:16] [ERROR] [RuleStrategyB] [RuleB] ⚠️ evaluate_result 예외: The truth value of a DataFrame is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
[2025-07-22 16:44:16] [ERROR] [RuleStrategyB] [RuleB] ⚠️ evaluate_result 예외: The truth value of a DataFrame is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
[2025-07-22 16:44:16] [ERROR] [RuleStrategyB] [RuleB] ⚠️ evaluate_result 예외: The truth value of a DataFrame is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
[2025-07-22 16:44:16] [ERROR] [RuleStrategyB] [RuleB] ⚠️ evaluate_result 예외: The truth value of a DataFrame is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
[2025-07-22 16:44:16] [ERROR] [RuleStrategyB] [RuleB] ⚠️ evaluate_result 예외: The truth value of a DataFrame is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
[2025-07-22 16:44:16] [ERROR] [RuleStrategyB] [RuleB] ⚠️ evaluate_result 예외: The truth value of a DataFrame is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
[2025-07-22 16:44:16] [ERROR] [RuleStrategyB] [RuleB] ⚠️ evaluate_result 예외: The truth value of a DataFrame is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
[2025-07-22 16:44:16] [ERROR] [RuleStrategyB] [RuleB] ⚠️ evaluate_result 예외: The truth value of a DataFrame is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
[2025-07-22 16:44:16] [ERROR] [RuleStrategyB] [RuleB] ⚠️ evaluate_result 예외: The truth value of a DataFrame is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
[2025-07-22 16:44:16] [ERROR] [RuleStrategyB] [RuleB] ⚠️ evaluate_result 예외: The truth value of a DataFrame is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
[2025-07-22 16:44:16] [ERROR] [RuleStrategyB] [RuleB] ⚠️ evaluate_result 예외: The truth value of a DataFrame is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
[2025-07-22 16:44:16] [ERROR] [RuleStrategyB] [RuleB] ⚠️ evaluate_result 예외: The truth value of a DataFrame is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
[2025-07-22 16:44:16] [ERROR] [RuleStrategyB] [RuleB] ⚠️ evaluate_result 예외: The truth value of a DataFrame is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
[2025-07-22 16:44:16] [ERROR] [RuleStrategyB] [RuleB] ⚠️ evaluate_result 예외: The truth value of a DataFrame is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
[2025-07-22 16:44:16] [ERROR] [RuleStrategyB] [RuleB] ⚠️ evaluate_result 예외: The truth value of a DataFrame is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
[2025-07-22 16:44:16] [ERROR] [RuleStrategyB] [RuleB] ⚠️ evaluate_result 예외: The truth value of a DataFrame is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
[2025-07-22 16:44:16] [ERROR] [RuleStrategyB] [RuleB] ⚠️ evaluate_result 예외: The truth value of a DataFrame is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
[2025-07-22 16:44:16] [ERROR] [RuleStrategyB] [RuleB] ⚠️ evaluate_result 예외: The truth value of a DataFrame is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
[2025-07-22 16:44:16] [ERROR] [RuleStrategyB] [RuleB] ⚠️ evaluate_result 예외: The truth value of a DataFrame is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
[2025-07-22 16:44:16] [ERROR] [RuleStrategyB] [RuleB] ⚠️ evaluate_result 예외: The truth value of a DataFrame is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
[2025-07-22 16:44:16] [ERROR] [RuleStrategyB] [RuleB] ⚠️ evaluate_result 예외: The truth value of a DataFrame is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
[2025-07-22 16:44:16] [ERROR] [RuleStrategyB] [RuleB] ⚠️ evaluate_result 예외: The truth value of a DataFrame is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
[2025-07-22 16:44:16] [ERROR] [RuleStrategyB] [RuleB] ⚠️ evaluate_result 예외: The truth value of a DataFrame is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
[2025-07-22 16:44:17] [ERROR] [RuleStrategyB] [RuleB] ⚠️ evaluate_result 예외: The truth value of a DataFrame is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
[2025-07-22 16:44:17] [ERROR] [RuleStrategyB] [RuleB] ⚠️ evaluate_result 예외: The truth value of a DataFrame is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
[2025-07-22 16:44:17] [ERROR] [RuleStrategyB] [RuleB] ⚠️ evaluate_result 예외: The truth value of a DataFrame is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
[2025-07-22 16:44:17] [ERROR] [RuleStrategyB] [RuleB] ⚠️ evaluate_result 예외: The truth value of a DataFrame is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
[2025-07-22 16:44:17] [ERROR] [RuleStrategyB] [RuleB] ⚠️ evaluate_result 예외: The truth value of a DataFrame is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
[2025-07-22 16:44:17] [ERROR] [RuleStrategyB] [RuleB] ⚠️ evaluate_result 예외: The truth value of a DataFrame is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
[2025-07-22 16:44:17] [ERROR] [RuleStrategyB] [RuleB] ⚠️ evaluate_result 예외: The truth value of a DataFrame is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
[2025-07-22 16:44:17] [ERROR] [RuleStrategyB] [RuleB] ⚠️ evaluate_result 예외: The truth value of a DataFrame is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
[2025-07-22 16:44:17] [ERROR] [RuleStrategyB] [RuleB] ⚠️ evaluate_result 예외: The truth value of a DataFrame is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
[2025-07-22 16:44:17] [ERROR] [RuleStrategyB] [RuleB] ⚠️ evaluate_result 예외: The truth value of a DataFrame is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
[2025-07-22 16:44:17] [ERROR] [RuleStrategyB] [RuleB] ⚠️ evaluate_result 예외: The truth value of a DataFrame is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
[2025-07-22 16:44:17] [ERROR] [RuleStrategyB] [RuleB] ⚠️ evaluate_result 예외: The truth value of a DataFrame is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
[2025-07-22 16:44:17] [ERROR] [RuleStrategyB] [RuleB] ⚠️ evaluate_result 예외: The truth value of a DataFrame is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
[2025-07-22 16:44:17] [ERROR] [RuleStrategyB] [RuleB] ⚠️ evaluate_result 예외: The truth value of a DataFrame is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
[2025-07-22 16:44:17] [ERROR] [RuleStrategyB] [RuleB] ⚠️ evaluate_result 예외: The truth value of a DataFrame is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
[2025-07-22 16:44:17] [ERROR] [RuleStrategyB] [RuleB] ⚠️ evaluate_result 예외: The truth value of a DataFrame is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
[2025-07-22 16:44:17] [ERROR] [RuleStrategyB] [RuleB] ⚠️ evaluate_result 예외: The truth value of a DataFrame is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
[2025-07-22 16:44:17] [ERROR] [RuleStrategyB] [RuleB] ⚠️ evaluate_result 예외: The truth value of a DataFrame is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
[2025-07-22 16:44:17] [ERROR] [RuleStrategyB] [RuleB] ⚠️ evaluate_result 예외: The truth value of a DataFrame is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
[2025-07-22 16:44:17] [ERROR] [RuleStrategyB] [RuleB] ⚠️ evaluate_result 예외: The truth value of a DataFrame is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
[2025-07-22 16:44:17] [ERROR] [RuleStrategyB] [RuleB] ⚠️ evaluate_result 예외: The truth value of a DataFrame is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
[2025-07-22 16:44:17] [ERROR] [RuleStrategyB] [RuleB] ⚠️ evaluate_result 예외: The truth value of a DataFrame is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
[2025-07-22 16:44:17] [ERROR] [RuleStrategyB] [RuleB] ⚠️ evaluate_result 예외: The truth value of a DataFrame is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
[2025-07-22 16:44:17] [ERROR] [RuleStrategyB] [RuleB] ⚠️ evaluate_result 예외: The truth value of a DataFrame is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
[2025-07-22 16:44:17] [ERROR] [RuleStrategyB] [RuleB] ⚠️ evaluate_result 예외: The truth value of a DataFrame is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
[2025-07-22 16:44:17] [ERROR] [RuleStrategyB] [RuleB] ⚠️ evaluate_result 예외: The truth value of a DataFrame is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
[2025-07-22 16:44:17] [ERROR] [RuleStrategyB] [RuleB] ⚠️ evaluate_result 예외: The truth value of a DataFrame is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
[2025-07-22 16:44:17] [ERROR] [RuleStrategyB] [RuleB] ⚠️ evaluate_result 예외: The truth value of a DataFrame is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
[2025-07-22 16:44:17] [ERROR] [RuleStrategyB] [RuleB] ⚠️ evaluate_result 예외: The truth value of a DataFrame is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
[2025-07-22 16:44:17] [ERROR] [RuleStrategyB] [RuleB] ⚠️ evaluate_result 예외: The truth value of a DataFrame is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
[2025-07-22 16:44:18] [ERROR] [RuleStrategyB] [RuleB] ⚠️ evaluate_result 예외: The truth value of a DataFrame is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
[2025-07-22 16:44:18] [ERROR] [RuleStrategyB] [RuleB] ⚠️ evaluate_result 예외: The truth value of a DataFrame is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
[2025-07-22 16:44:18] [ERROR] [RuleStrategyB] [RuleB] ⚠️ evaluate_result 예외: The truth value of a DataFrame is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
[2025-07-22 16:44:18] [ERROR] [RuleStrategyB] [RuleB] ⚠️ evaluate_result 예외: The truth value of a DataFrame is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
[2025-07-22 16:44:18] [ERROR] [RuleStrategyB] [RuleB] ⚠️ evaluate_result 예외: The truth value of a DataFrame is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
[2025-07-22 16:44:18] [ERROR] [RuleStrategyB] [RuleB] ⚠️ evaluate_result 예외: The truth value of a DataFrame is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
[2025-07-22 16:44:18] [ERROR] [RuleStrategyB] [RuleB] ⚠️ evaluate_result 예외: The truth value of a DataFrame is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
[2025-07-22 16:44:18] [ERROR] [RuleStrategyB] [RuleB] ⚠️ evaluate_result 예외: The truth value of a DataFrame is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
[2025-07-22 16:44:18] [ERROR] [RuleStrategyB] [RuleB] ⚠️ evaluate_result 예외: The truth value of a DataFrame is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
[2025-07-22 16:44:18] [ERROR] [RuleStrategyB] [RuleB] ⚠️ evaluate_result 예외: The truth value of a DataFrame is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
[2025-07-22 16:44:18] [ERROR] [RuleStrategyB] [RuleB] ⚠️ evaluate_result 예외: The truth value of a DataFrame is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
[2025-07-22 16:44:18] [ERROR] [RuleStrategyB] [RuleB] ⚠️ evaluate_result 예외: The truth value of a DataFrame is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
[2025-07-22 16:44:18] [ERROR] [RuleStrategyB] [RuleB] ⚠️ evaluate_result 예외: The truth value of a DataFrame is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().
